Model,Metric,seed42,seed123,seed456,mean,std,n_seeds
Idea 3 — MSDA+CSPStage,APm,0.641898,0.641115,0.625790,0.636268,0.009082,3
Idea 3 — MSDA+CSPStage,APl,0.385232,0.380341,0.353879,0.373151,0.016868,3
Idea 3 — MSDA+CSPStage,AP50,0.579939,0.588787,0.579510,0.582745,0.005237,3
Idea 3 — MSDA+CSPStage,AP75,0.491576,0.491046,0.490213,0.490945,0.000687,3
Idea 3 — MSDA+CSPStage,Recall,0.830459,0.832176,0.830646,0.831094,0.000942,3
Idea 3 — MSDA+CSPStage,Precision,0.943311,0.941112,0.941647,0.942023,0.001147,3
Idea 4 — DyConv,AP,0.407951,0.406816,0.409209,0.407992,0.001197,3
Idea 4 — DyConv,APs,0.355352,0.354840,0.356968,0.355720,0.001111,3
Idea 4 — DyConv,APm,0.641559,0.641772,0.634862,0.639397,0.003930,3
Idea 4 — DyConv,APl,0.325159,0.345389,0.319196,0.329915,0.013729,3
Idea 4 — DyConv,AP50,0.588411,0.588846,0.589009,0.588756,0.000309,3
Idea 4 — DyConv,AP75,0.496472,0.497161,0.498241,0.497291,0.000892,3
Idea 4 — DyConv,Recall,0.836320,0.837029,0.837365,0.836904,0.000534,3
Idea 4 — DyConv,Precision,0.938194,0.937341,0.939563,0.938366,0.001121,3
Idea 5 — CSD (LKCA+MSDP),AP,0.404118,0.403173,0.404530,0.403940,0.000696,3
Idea 5 — CSD (LKCA+MSDP),APs,0.353767,0.352039,0.350949,0.352252,0.001421,3
Idea 5 — CSD (LKCA+MSDP),APm,0.632742,0.632750,0.641770,0.635754,0.005210,3
Idea 5 — CSD (LKCA+MSDP),APl,0.305256,0.320519,0.308400,0.311392,0.008059,3
Idea 5 — CSD (LKCA+MSDP),AP50,0.587829,0.588108,0.588607,0.588181,0.000394,3
Idea 5 — CSD (LKCA+MSDP),AP75,0.488537,0.488704,0.487474,0.488238,0.000667,3
Idea 5 — CSD (LKCA+MSDP),Recall,0.836469,0.831878,0.837402,0.835249,0.002957,3
Idea 5 — CSD (LKCA+MSDP),Precision,0.931883,0.941450,0.935881,0.936405,0.004805,3
